"Range Group #(DO NOT CHANGE)","Index in Range Group(DO NOT CHANGE)","Range #(DO NOT CHANGE)","Range Name", "Start Call Number 1","End Call Number 1","Location 1", "Start Call Number 2","End Call Number 2","Location 2","Etc"
"306","7","78","12B","[ERC] Q181 .D369 2013","[ERC] QE5213 .H47 1996","ERC - Stacks (2nd)"
"307","0","79","7A","[ERC] QA 40.5 (MERRIMACK ONLY)","[ERC] QA 465 (MERRIMACK ONLY)","ERC-Games/Kits (2nd)"
"307","1","80","7B","[ERC] QA 465 (MERRIMACK ONLY)","[ERC] QL544.2 (MERRIMACK ONLY)","ERC-Games/Kits (2nd)"
"307","2","81","9A, 9B","[ERC] LB1576 .T33 (MERRIMACK ONLY)","[ERC] TD794 (MERRIMACK ONLY)","ERC-Games/Kits (2nd)"
"307","3","82","9A, 9B","[ERC] LB1576 .T33 (MERRIMACK ONLY)","[ERC] TD794 (MERRIMACK ONLY)","ERC-Games/Kits (2nd)"
"307","4","83","11A","[ERC] E159 .K44 2004","[ERC] G537.T4 L49 2006","ERC - Stacks (2nd)"
"307","5","84","11B","[ERC] LB1027.25 .G72 1990","[ERC] LB1575.8 .M55 2004","ERC - Stacks (2nd)"
"307","6","85","13A","[ERC] LC4603.3 .C43 2003","[ERC] PR4167 .J5 2008","ERC - Stacks (2nd)"
"307","7","86","13B","[ERC] PR4558 .A1 2004B","[ERC] Q181 .Z5 C45 1992","ERC - Stacks (2nd)"
"314","0","87","14A","[ERC] QH31 .D2 H42 2009","[ERC] T173.8 .P47 2009X","ERC - Stacks (2nd)"
"314","1","88","14B","[ERC] TA140 .F455 K73 2015","[ERC] Z3508 .C5 K48 1994","ERC - Stacks (2nd)"
"315","0","89","15","[ERC] BF637 .B85 I58 2007","[ERC] TL789.85 .H53 2005","ERC-DVD (2nd)"
"316","0","90","Audiobooks",
"317","0","142","29","BP1.","PS9999.","World Language DVD (2nd)","A1.","BR9999.","DVD (2nd)"
"317","1","143","",
"317","2","144","29","A1.","BR9999.","World Language DVD (2nd)"
"318","0","145","31","BS1.","PN1992.69","DVD (2nd)"
